"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
37,37,354,2022-01-04,"R$ 16.978,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,2,97,2022-01-04,"R$ 19.148,32",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,4,100,2022-01-04,"R$ 31.435,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
4,4,66,2022-01-04,"R$ 2.038,85",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,6,78,2022-01-04,"R$ 20.709,04",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
4612,4044,28991,2022-01-04,"R$ 4.010.223,23",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
7,6,75,2022-01-04,"R$ 1.325,20",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1182,1053,12493,2022-01-04,"R$ 1.025.523,91",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5506,4982,27314,2022-01-04,"R$ 1.005.496,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
623,398,6961,2022-01-04,"R$ 650.306,33",Padrão,VIAGEM E TURISMO,Parceiro-262
38,35,325,2022-01-04,"R$ 12.731,59",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
926,713,4476,2022-01-04,"R$ 139.634,26",Padrão,BELEZA E SAÚDE,Parceiro-463
242,222,1601,2022-01-04,"R$ 51.011,11",Padrão,MODA E ACESSÓRIOS,Parceiro-49
131,106,796,2022-01-04,"R$ 45.545,20",Padrão,BELEZA E SAÚDE,Parceiro-51
96,73,653,2022-01-04,"R$ 31.517,22",Padrão,ESPORTE E LAZER,Parceiro-525
168,96,863,2022-01-04,"R$ 17.094,55",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,15,99,2022-01-04,"R$ 4.343,50",Padrão,ESPORTE E LAZER,Parceiro-62
33,31,340,2022-01-04,"R$ 9.002,74",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,4,2022-01-04,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
108,100,2322,2022-01-04,"R$ 113.948,16",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
27,25,277,2022-01-05,"R$ 18.558,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
17,6,84,2022-01-05,"R$ 18.955,18",Padrão,VIAGEM E TURISMO,Parceiro-1561
2,2,71,2022-01-05,"R$ 20.330,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
19,15,82,2022-01-05,"R$ 9.462,46",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,5,95,2022-01-05,"R$ 16.389,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
5122,4602,29920,2022-01-05,"R$ 3.493.086,76",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
3,3,54,2022-01-05,"R$ 2.063,46",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1166,1032,12503,2022-01-05,"R$ 931.275,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5421,4890,26277,2022-01-05,"R$ 937.339,61",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
627,399,6393,2022-01-05,"R$ 635.661,97",Padrão,VIAGEM E TURISMO,Parceiro-262
63,60,1205,2022-01-05,"R$ 34.923,57",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
900,672,4407,2022-01-05,"R$ 134.155,55",Padrão,BELEZA E SAÚDE,Parceiro-463
259,240,1722,2022-01-05,"R$ 53.096,30",Padrão,MODA E ACESSÓRIOS,Parceiro-49
67,61,589,2022-01-05,"R$ 24.883,05",Padrão,BELEZA E SAÚDE,Parceiro-51
112,48,799,2022-01-05,"R$ 37.664,16",Padrão,ESPORTE E LAZER,Parceiro-525
152,80,805,2022-01-05,"R$ 15.628,09",Padrão,VIAGEM E TURISMO,Parceiro-6095
9,9,91,2022-01-05,"R$ 1.438,53",Padrão,ESPORTE E LAZER,Parceiro-62
35,30,295,2022-01-05,"R$ 11.581,12",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-01-05,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
108,91,2309,2022-01-05,"R$ 93.593,79",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
33,30,342,2022-01-06,"R$ 20.088,90",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,6,116,2022-01-06,"R$ 20.768,71",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,5,63,2022-01-06,"R$ 33.637,05",Padrão,MODA E ACESSÓRIOS,Parceiro-169
22,18,121,2022-01-06,"R$ 10.013,59",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
2,2,51,2022-01-06,"R$ 3.013,07",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
5183,4612,29549,2022-01-06,"R$ 3.716.289,92",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
5,5,56,2022-01-06,"R$ 671,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1381,1205,15739,2022-01-06,"R$ 1.321.515,58",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5244,4707,32745,2022-01-06,"R$ 996.895,66",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
578,359,6050,2022-01-06,"R$ 673.163,78",Padrão,VIAGEM E TURISMO,Parceiro-262
47,45,797,2022-01-06,"R$ 26.580,41",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1012,762,4635,2022-01-06,"R$ 154.134,54",Padrão,BELEZA E SAÚDE,Parceiro-463
251,237,1643,2022-01-06,"R$ 53.505,87",Padrão,MODA E ACESSÓRIOS,Parceiro-49
50,44,505,2022-01-06,"R$ 17.332,50",Padrão,BELEZA E SAÚDE,Parceiro-51
101,85,770,2022-01-06,"R$ 34.432,45",Padrão,ESPORTE E LAZER,Parceiro-525
109,63,723,2022-01-06,"R$ 9.886,26",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,83,2022-01-06,"R$ 3.564,34",Padrão,ESPORTE E LAZER,Parceiro-62
41,35,335,2022-01-06,"R$ 11.907,32",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-01-06,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
109,91,2188,2022-01-06,"R$ 130.493,87",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
42,41,380,2022-01-07,"R$ 47.604,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,4,73,2022-01-07,"R$ 14.374,19",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,5,73,2022-01-07,"R$ 6.153,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
12,11,122,2022-01-07,"R$ 6.275,02",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
6,5,77,2022-01-07,"R$ 8.927,89",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
12328,10951,87883,2022-01-07,"R$ 13.093.126,61",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2
8,7,70,2022-01-07,"R$ 4.673,65",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
13709,12287,116919,2022-01-07,"R$ 15.545.125,34",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-220
4567,4086,23664,2022-01-07,"R$ 877.677,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
511,325,5409,2022-01-07,"R$ 518.419,08",Padrão,VIAGEM E TURISMO,Parceiro-262
70,68,579,2022-01-07,"R$ 34.677,83",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
949,705,4128,2022-01-07,"R$ 138.290,79",Padrão,BELEZA E SAÚDE,Parceiro-463
252,238,1691,2022-01-07,"R$ 53.693,98",Padrão,MODA E ACESSÓRIOS,Parceiro-49
42,37,494,2022-01-07,"R$ 11.895,80",Padrão,BELEZA E SAÚDE,Parceiro-51
98,86,673,2022-01-07,"R$ 32.199,53",Padrão,ESPORTE E LAZER,Parceiro-525
53,28,474,2022-01-07,"R$ 3.256,27",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,12,83,2022-01-07,"R$ 2.035,57",Padrão,ESPORTE E LAZER,Parceiro-62
35,29,285,2022-01-07,"R$ 8.897,72",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-07,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
99,95,2100,2022-01-07,"R$ 91.935,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
15,13,242,2022-01-08,"R$ 5.476,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,5,78,2022-01-08,"R$ 12.616,92",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,58,2022-01-08,"R$ 19.678,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,7,45,2022-01-08,"R$ 3.812,36",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
2,1,24,2022-01-08,"R$ 4.171,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
5139,4577,42222,2022-01-08,"R$ 3.880.220,11",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2
8,8,47,2022-01-08,"R$ 757,07",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
3406,3056,34263,2022-01-08,"R$ 2.967.962,70",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3847,3418,21492,2022-01-08,"R$ 646.417,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
384,250,3781,2022-01-08,"R$ 476.510,12",Padrão,VIAGEM E TURISMO,Parceiro-262
45,38,529,2022-01-08,"R$ 34.075,57",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
652,495,3028,2022-01-08,"R$ 93.667,75",Padrão,BELEZA E SAÚDE,Parceiro-463
239,214,1675,2022-01-08,"R$ 51.019,49",Padrão,MODA E ACESSÓRIOS,Parceiro-49
44,41,381,2022-01-08,"R$ 21.667,45",Padrão,BELEZA E SAÚDE,Parceiro-51
95,77,578,2022-01-08,"R$ 29.535,45",Padrão,ESPORTE E LAZER,Parceiro-525
54,39,399,2022-01-08,"R$ 5.630,71",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,13,56,2022-01-08,"R$ 2.880,60",Padrão,ESPORTE E LAZER,Parceiro-62
31,24,293,2022-01-08,"R$ 11.483,87",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-08,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
75,73,1661,2022-01-08,"R$ 80.546,41",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
36,30,345,2022-01-09,"R$ 20.779,90",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,5,76,2022-01-09,"R$ 19.392,04",Padrão,VIAGEM E TURISMO,Parceiro-1561
1,1,69,2022-01-09,"R$ 2.544,62",Padrão,MODA E ACESSÓRIOS,Parceiro-169
9,8,78,2022-01-09,"R$ 6.033,27",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
2,2,38,2022-01-09,"R$ 6.667,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
4609,4140,36818,2022-01-09,"R$ 2.949.817,21",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
5,2,63,2022-01-09,"R$ 2.343,98",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
3012,2723,29445,2022-01-09,"R$ 2.231.542,36",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4212,3737,22537,2022-01-09,"R$ 720.663,77",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
499,320,4225,2022-01-09,"R$ 590.000,77",Padrão,VIAGEM E TURISMO,Parceiro-262
58,52,558,2022-01-09,"R$ 35.723,17",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
669,529,3001,2022-01-09,"R$ 104.414,62",Padrão,BELEZA E SAÚDE,Parceiro-463
