"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
31,26,397,2022-02-04,"R$ 11.776,75",Padrão,BELEZA E SAÚDE,Parceiro-51
58,47,499,2022-02-04,"R$ 24.336,44",Padrão,ESPORTE E LAZER,Parceiro-525
55,36,426,2022-02-04,"R$ 5.317,30",Padrão,VIAGEM E TURISMO,Parceiro-6095
22,18,146,2022-02-04,"R$ 5.031,29",Padrão,ESPORTE E LAZER,Parceiro-62
32,29,273,2022-02-04,"R$ 9.496,79",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
101,91,2285,2022-02-04,"R$ 210.110,33",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
19,18,200,2022-02-05,"R$ 8.665,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,5,83,2022-02-05,"R$ 10.100,02",Padrão,VIAGEM E TURISMO,Parceiro-1561
3,1,67,2022-02-05,"R$ 37,64",Padrão,MODA E ACESSÓRIOS,Parceiro-169
16,12,531,2022-02-05,"R$ 7.196,93",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
14,13,94,2022-02-05,"R$ 12.285,89",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2190,1925,19377,2022-02-05,"R$ 1.401.907,73",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
18,17,267,2022-02-05,"R$ 15.286,87",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
976,872,8598,2022-02-05,"R$ 458.364,06",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4279,3849,20746,2022-02-05,"R$ 927.218,03",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
362,247,2928,2022-02-05,"R$ 394.711,03",Padrão,VIAGEM E TURISMO,Parceiro-262
29,28,246,2022-02-05,"R$ 9.444,81",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
622,526,2945,2022-02-05,"R$ 99.429,07",Padrão,BELEZA E SAÚDE,Parceiro-463
311,292,2105,2022-02-05,"R$ 65.707,10",Padrão,MODA E ACESSÓRIOS,Parceiro-49
29,27,370,2022-02-05,"R$ 10.868,00",Padrão,BELEZA E SAÚDE,Parceiro-51
59,52,612,2022-02-05,"R$ 17.414,78",Padrão,ESPORTE E LAZER,Parceiro-525
53,28,320,2022-02-05,"R$ 6.715,88",Padrão,VIAGEM E TURISMO,Parceiro-6095
8,8,101,2022-02-05,"R$ 1.708,80",Padrão,ESPORTE E LAZER,Parceiro-62
27,26,207,2022-02-05,"R$ 8.758,78",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-02-05,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
97,85,1886,2022-02-05,"R$ 177.205,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
29,28,229,2022-02-06,"R$ 24.800,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
20,7,107,2022-02-06,"R$ 17.878,33",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,3,79,2022-02-06,"R$ 70,69",Padrão,MODA E ACESSÓRIOS,Parceiro-169
12,11,496,2022-02-06,"R$ 6.468,51",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
17,13,113,2022-02-06,"R$ 21.683,70",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2078,1859,19675,2022-02-06,"R$ 1.334.815,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
22,21,240,2022-02-06,"R$ 17.815,58",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1370,1229,10314,2022-02-06,"R$ 862.613,66",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4689,4215,22754,2022-02-06,"R$ 924.305,33",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
460,329,4712,2022-02-06,"R$ 525.191,82",Padrão,VIAGEM E TURISMO,Parceiro-262
44,43,366,2022-02-06,"R$ 20.759,00",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
573,505,2879,2022-02-06,"R$ 88.293,21",Padrão,BELEZA E SAÚDE,Parceiro-463
322,311,2321,2022-02-06,"R$ 72.066,07",Padrão,MODA E ACESSÓRIOS,Parceiro-49
26,25,405,2022-02-06,"R$ 9.547,60",Padrão,BELEZA E SAÚDE,Parceiro-51
52,45,561,2022-02-06,"R$ 12.768,49",Padrão,ESPORTE E LAZER,Parceiro-525
45,30,441,2022-02-06,"R$ 4.277,31",Padrão,VIAGEM E TURISMO,Parceiro-6095
18,16,164,2022-02-06,"R$ 4.580,74",Padrão,ESPORTE E LAZER,Parceiro-62
24,21,216,2022-02-06,"R$ 7.387,75",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
113,101,1890,2022-02-06,"R$ 324.320,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
49,48,389,2022-02-07,"R$ 33.340,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
22,10,150,2022-02-07,"R$ 39.947,68",Padrão,VIAGEM E TURISMO,Parceiro-1561
5,3,81,2022-02-07,"R$ 36,64",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,5,111,2022-02-07,"R$ 3.371,72",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
13,11,135,2022-02-07,"R$ 28.014,11",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3037,2654,24867,2022-02-07,"R$ 2.379.124,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
26,20,649,2022-02-07,"R$ 14.652,08",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
3159,2845,27437,2022-02-07,"R$ 2.655.346,11",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
6131,5574,28190,2022-02-07,"R$ 1.284.584,33",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
592,407,5830,2022-02-07,"R$ 557.562,10",Padrão,VIAGEM E TURISMO,Parceiro-262
59,51,462,2022-02-07,"R$ 24.881,33",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
824,693,5129,2022-02-07,"R$ 126.583,68",Padrão,BELEZA E SAÚDE,Parceiro-463
358,347,2520,2022-02-07,"R$ 72.463,37",Padrão,MODA E ACESSÓRIOS,Parceiro-49
34,32,469,2022-02-07,"R$ 11.465,80",Padrão,BELEZA E SAÚDE,Parceiro-51
58,43,713,2022-02-07,"R$ 23.846,96",Padrão,ESPORTE E LAZER,Parceiro-525
66,42,573,2022-02-07,"R$ 6.426,47",Padrão,VIAGEM E TURISMO,Parceiro-6095
17,14,199,2022-02-07,"R$ 3.775,03",Padrão,ESPORTE E LAZER,Parceiro-62
36,35,338,2022-02-07,"R$ 11.194,85",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-02-07,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
130,119,2405,2022-02-07,"R$ 147.742,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
43,42,369,2022-02-08,"R$ 26.900,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
26,11,108,2022-02-08,"R$ 27.730,04",Padrão,VIAGEM E TURISMO,Parceiro-1561
9,5,86,2022-02-08,"R$ 21.551,51",Padrão,MODA E ACESSÓRIOS,Parceiro-169
14,14,123,2022-02-08,"R$ 8.411,09",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
17,14,144,2022-02-08,"R$ 32.614,71",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3038,2714,21940,2022-02-08,"R$ 1.638.384,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
36,33,619,2022-02-08,"R$ 41.326,56",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2648,2417,20172,2022-02-08,"R$ 2.213.965,61",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5679,5234,26177,2022-02-08,"R$ 1.164.041,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
547,384,5299,2022-02-08,"R$ 641.469,86",Padrão,VIAGEM E TURISMO,Parceiro-262
46,44,344,2022-02-08,"R$ 31.056,57",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
848,629,4592,2022-02-08,"R$ 132.145,12",Padrão,BELEZA E SAÚDE,Parceiro-463
335,322,2221,2022-02-08,"R$ 71.220,86",Padrão,MODA E ACESSÓRIOS,Parceiro-49
36,35,417,2022-02-08,"R$ 11.319,15",Padrão,BELEZA E SAÚDE,Parceiro-51
78,55,734,2022-02-08,"R$ 35.936,60",Padrão,ESPORTE E LAZER,Parceiro-525
41,28,529,2022-02-08,"R$ 3.653,47",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,12,164,2022-02-08,"R$ 3.816,50",Padrão,ESPORTE E LAZER,Parceiro-62
37,34,303,2022-02-08,"R$ 11.563,96",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-02-08,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
115,102,2278,2022-02-08,"R$ 416.920,68",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
42,42,376,2022-02-09,"R$ 26.449,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,4,98,2022-02-09,"R$ 13.887,64",Padrão,VIAGEM E TURISMO,Parceiro-1561
12,11,83,2022-02-09,"R$ 37.056,46",Padrão,MODA E ACESSÓRIOS,Parceiro-169
15,14,146,2022-02-09,"R$ 7.023,32",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
13,12,93,2022-02-09,"R$ 30.908,76",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3184,2855,23265,2022-02-09,"R$ 1.765.012,15",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
23,21,475,2022-02-09,"R$ 130.090,08",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2704,2441,21526,2022-02-09,"R$ 2.195.962,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5627,5165,26247,2022-02-09,"R$ 1.132.394,27",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
586,407,5304,2022-02-09,"R$ 548.365,07",Padrão,VIAGEM E TURISMO,Parceiro-262
40,39,327,2022-02-09,"R$ 17.808,48",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
820,626,4405,2022-02-09,"R$ 122.892,85",Padrão,BELEZA E SAÚDE,Parceiro-463
317,289,2052,2022-02-09,"R$ 62.015,07",Padrão,MODA E ACESSÓRIOS,Parceiro-49
40,36,353,2022-02-09,"R$ 12.550,40",Padrão,BELEZA E SAÚDE,Parceiro-51
70,62,624,2022-02-09,"R$ 30.061,82",Padrão,ESPORTE E LAZER,Parceiro-525
62,38,652,2022-02-09,"R$ 5.229,93",Padrão,VIAGEM E TURISMO,Parceiro-6095
27,25,173,2022-02-09,"R$ 4.849,37",Padrão,ESPORTE E LAZER,Parceiro-62
35,34,314,2022-02-09,"R$ 11.226,40",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-02-09,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
135,117,2278,2022-02-09,"R$ 113.539,72",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
45,40,359,2022-02-10,"R$ 25.627,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
17,7,160,2022-02-10,"R$ 27.588,42",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,2,69,2022-02-10,"R$ 5.713,40",Padrão,MODA E ACESSÓRIOS,Parceiro-169
9,9,116,2022-02-10,"R$ 4.473,58",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
16,15,116,2022-02-10,"R$ 34.559,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
9861,8608,96889,2022-02-10,"R$ 20.731.612,97",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2
30,24,371,2022-02-10,"R$ 25.544,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1897,1677,15556,2022-02-10,"R$ 1.452.217,93",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5140,4744,23408,2022-02-10,"R$ 1.109.490,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
574,401,5162,2022-02-10,"R$ 591.555,64",Padrão,VIAGEM E TURISMO,Parceiro-262
35,35,332,2022-02-10,"R$ 14.234,74",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
634,488,3672,2022-02-10,"R$ 84.369,90",Padrão,BELEZA E SAÚDE,Parceiro-463
272,253,1980,2022-02-10,"R$ 64.595,06",Padrão,MODA E ACESSÓRIOS,Parceiro-49
39,35,364,2022-02-10,"R$ 12.682,50",Padrão,BELEZA E SAÚDE,Parceiro-51
57,47,532,2022-02-10,"R$ 17.066,85",Padrão,ESPORTE E LAZER,Parceiro-525
60,38,504,2022-02-10,"R$ 6.659,05",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,14,125,2022-02-10,"R$ 2.793,81",Padrão,ESPORTE E LAZER,Parceiro-62
24,23,285,2022-02-10,"R$ 6.774,73",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-02-10,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
137,131,2181,2022-02-10,"R$ 125.877,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
29,28,292,2022-02-11,"R$ 14.376,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
8,4,102,2022-02-11,"R$ 8.687,56",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,3,62,2022-02-11,"R$ 18.030,05",Padrão,MODA E ACESSÓRIOS,Parceiro-169
13,12,106,2022-02-11,"R$ 7.557,96",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
16,14,88,2022-02-11,"R$ 30.650,10",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
5574,4738,43410,2022-02-11,"R$ 18.073.515,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
25,21,452,2022-02-11,"R$ 24.240,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1539,1378,13845,2022-02-11,"R$ 883.155,21",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4654,4258,21999,2022-02-11,"R$ 983.252,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
498,392,4554,2022-02-11,"R$ 526.579,62",Padrão,VIAGEM E TURISMO,Parceiro-262
37,33,311,2022-02-11,"R$ 15.398,51",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
661,533,3543,2022-02-11,"R$ 96.647,87",Padrão,BELEZA E SAÚDE,Parceiro-463
258,239,1791,2022-02-11,"R$ 59.988,97",Padrão,MODA E ACESSÓRIOS,Parceiro-49
24,19,295,2022-02-11,"R$ 11.092,70",Padrão,BELEZA E SAÚDE,Parceiro-51
52,46,535,2022-02-11,"R$ 16.445,73",Padrão,ESPORTE E LAZER,Parceiro-525
59,38,464,2022-02-11,"R$ 5.156,16",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,100,2022-02-11,"R$ 1.423,67",Padrão,ESPORTE E LAZER,Parceiro-62
31,27,256,2022-02-11,"R$ 9.312,31",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-02-11,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
96,91,1816,2022-02-11,"R$ 85.758,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
21,19,198,2022-02-12,"R$ 12.332,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,4,66,2022-02-12,"R$ 11.812,00",Padrão,VIAGEM E TURISMO,Parceiro-1561
8,7,70,2022-02-12,"R$ 42.091,35",Padrão,MODA E ACESSÓRIOS,Parceiro-169
8,8,88,2022-02-12,"R$ 3.266,74",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
8,8,55,2022-02-12,"R$ 5.154,58",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1984,1739,18706,2022-02-12,"R$ 1.315.897,81",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
18,17,549,2022-02-12,"R$ 8.938,11",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
916,839,8396,2022-02-12,"R$ 457.565,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3623,3312,18370,2022-02-12,"R$ 900.091,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
363,256,2623,2022-02-12,"R$ 541.543,07",Padrão,VIAGEM E TURISMO,Parceiro-262
46,41,289,2022-02-12,"R$ 30.345,11",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
488,398,2470,2022-02-12,"R$ 77.479,24",Padrão,BELEZA E SAÚDE,Parceiro-463
259,246,1673,2022-02-12,"R$ 54.793,49",Padrão,MODA E ACESSÓRIOS,Parceiro-49
26,20,255,2022-02-12,"R$ 9.040,70",Padrão,BELEZA E SAÚDE,Parceiro-51
48,38,439,2022-02-12,"R$ 14.517,99",Padrão,ESPORTE E LAZER,Parceiro-525
51,36,331,2022-02-12,"R$ 3.360,18",Padrão,VIAGEM E TURISMO,Parceiro-6095
9,9,91,2022-02-12,"R$ 2.023,75",Padrão,ESPORTE E LAZER,Parceiro-62
15,14,109,2022-02-12,"R$ 4.698,03",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-02-12,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
76,75,1481,2022-02-12,"R$ 52.934,60",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
26,24,258,2022-02-13,"R$ 12.244,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,2,104,2022-02-13,"R$ 6.095,46",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,85,2022-02-13,"R$ 10.264,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
12,12,95,2022-02-13,"R$ 7.390,25",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,7,79,2022-02-13,"R$ 13.706,81",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1771,1574,18236,2022-02-13,"R$ 1.021.269,47",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
19,19,621,2022-02-13,"R$ 4.546,86",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1045,869,8954,2022-02-13,"R$ 503.296,21",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4185,3839,20471,2022-02-13,"R$ 977.589,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
487,336,3876,2022-02-13,"R$ 530.568,60",Padrão,VIAGEM E TURISMO,Parceiro-262
47,46,284,2022-02-13,"R$ 31.504,98",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
503,384,3278,2022-02-13,"R$ 69.209,70",Padrão,BELEZA E SAÚDE,Parceiro-463
286,272,1869,2022-02-13,"R$ 60.983,70",Padrão,MODA E ACESSÓRIOS,Parceiro-49
26,21,324,2022-02-13,"R$ 9.009,45",Padrão,BELEZA E SAÚDE,Parceiro-51
46,38,511,2022-02-13,"R$ 14.250,03",Padrão,ESPORTE E LAZER,Parceiro-525
52,30,413,2022-02-13,"R$ 5.195,53",Padrão,VIAGEM E TURISMO,Parceiro-6095
5,4,111,2022-02-13,"R$ 983,91",Padrão,ESPORTE E LAZER,Parceiro-62
19,19,127,2022-02-13,"R$ 6.157,36",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-02-13,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
114,108,1641,2022-02-13,"R$ 104.922,91",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
41,39,402,2022-02-14,"R$ 18.751,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
14,6,138,2022-02-14,"R$ 17.228,43",Padrão,VIAGEM E TURISMO,Parceiro-1561
9,7,102,2022-02-14,"R$ 51.970,75",Padrão,MODA E ACESSÓRIOS,Parceiro-169
19,15,141,2022-02-14,"R$ 10.667,13",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
19,14,98,2022-02-14,"R$ 39.580,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2518,2257,23221,2022-02-14,"R$ 1.492.724,01",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
39,34,935,2022-02-14,"R$ 9.257,82",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1365,1207,11897,2022-02-14,"R$ 706.893,99",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5418,4962,25223,2022-02-14,"R$ 1.194.348,38",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
579,414,6306,2022-02-14,"R$ 667.335,39",Padrão,VIAGEM E TURISMO,Parceiro-262
39,37,327,2022-02-14,"R$ 23.272,84",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
885,704,4499,2022-02-14,"R$ 131.743,12",Padrão,BELEZA E SAÚDE,Parceiro-463
285,266,1939,2022-02-14,"R$ 56.838,71",Padrão,MODA E ACESSÓRIOS,Parceiro-49
56,43,478,2022-02-14,"R$ 14.294,90",Padrão,BELEZA E SAÚDE,Parceiro-51
48,36,578,2022-02-14,"R$ 14.743,85",Padrão,ESPORTE E LAZER,Parceiro-525
62,45,499,2022-02-14,"R$ 6.325,50",Padrão,VIAGEM E TURISMO,Parceiro-6095
15,15,124,2022-02-14,"R$ 3.438,43",Padrão,ESPORTE E LAZER,Parceiro-62
28,25,229,2022-02-14,"R$ 6.116,52",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
128,119,2269,2022-02-14,"R$ 120.774,84",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
48,47,382,2022-02-15,"R$ 29.940,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
18,9,107,2022-02-15,"R$ 15.613,98",Padrão,VIAGEM E TURISMO,Parceiro-1561
12,6,101,2022-02-15,"R$ 39.079,40",Padrão,MODA E ACESSÓRIOS,Parceiro-169
16,15,110,2022-02-15,"R$ 9.836,63",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
16,14,101,2022-02-15,"R$ 19.649,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2485,2225,21866,2022-02-15,"R$ 1.478.251,72",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
28,28,349,2022-02-15,"R$ 3.851,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
5953,5220,65871,2022-02-15,"R$ 6.509.405,95",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-220
5360,4894,24712,2022-02-15,"R$ 1.163.019,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
637,424,6057,2022-02-15,"R$ 634.745,12",Padrão,VIAGEM E TURISMO,Parceiro-262
49,45,311,2022-02-15,"R$ 19.343,82",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
856,677,3968,2022-02-15,"R$ 129.017,92",Padrão,BELEZA E SAÚDE,Parceiro-463
293,278,1970,2022-02-15,"R$ 60.517,12",Padrão,MODA E ACESSÓRIOS,Parceiro-49
53,47,374,2022-02-15,"R$ 17.089,45",Padrão,BELEZA E SAÚDE,Parceiro-51
53,48,534,2022-02-15,"R$ 12.655,19",Padrão,ESPORTE E LAZER,Parceiro-525
75,39,527,2022-02-15,"R$ 6.109,27",Padrão,VIAGEM E TURISMO,Parceiro-6095
17,17,141,2022-02-15,"R$ 4.015,26",Padrão,ESPORTE E LAZER,Parceiro-62
31,27,290,2022-02-15,"R$ 10.732,09",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
94,84,2042,2022-02-15,"R$ 104.660,94",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
50,48,347,2022-02-16,"R$ 39.132,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
18,8,117,2022-02-16,"R$ 17.015,78",Padrão,VIAGEM E TURISMO,Parceiro-1561
10,6,73,2022-02-16,"R$ 30.445,28",Padrão,MODA E ACESSÓRIOS,Parceiro-169
14,14,101,2022-02-16,"R$ 8.108,54",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
14,12,112,2022-02-16,"R$ 19.791,24",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3937,3507,35061,2022-02-16,"R$ 2.567.313,43",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
21,19,275,2022-02-16,"R$ 5.704,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1348,1193,13943,2022-02-16,"R$ 763.144,54",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5178,4779,25281,2022-02-16,"R$ 1.147.361,32",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
642,453,4832,2022-02-16,"R$ 572.628,58",Padrão,VIAGEM E TURISMO,Parceiro-262
52,45,331,2022-02-16,"R$ 30.632,38",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
865,660,4158,2022-02-16,"R$ 132.958,43",Padrão,BELEZA E SAÚDE,Parceiro-463
300,277,1880,2022-02-16,"R$ 60.498,28",Padrão,MODA E ACESSÓRIOS,Parceiro-49
36,30,349,2022-02-16,"R$ 13.195,20",Padrão,BELEZA E SAÚDE,Parceiro-51
50,43,545,2022-02-16,"R$ 12.701,22",Padrão,ESPORTE E LAZER,Parceiro-525
68,49,499,2022-02-16,"R$ 6.945,93",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,11,128,2022-02-16,"R$ 2.417,21",Padrão,ESPORTE E LAZER,Parceiro-62
23,19,226,2022-02-16,"R$ 6.028,46",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-02-16,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
108,102,1977,2022-02-16,"R$ 120.608,57",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
177,160,6742,2022-02-17,"R$ 174.237,00",Promocional,MODA E ACESSÓRIOS,Parceiro-1335
16,6,119,2022-02-17,"R$ 17.368,08",Padrão,VIAGEM E TURISMO,Parceiro-1561
12,9,60,2022-02-17,"R$ 15.301,80",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,104,2022-02-17,"R$ 6.194,41",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
15,12,85,2022-02-17,"R$ 39.358,38",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
4170,3662,35242,2022-02-17,"R$ 3.104.802,98",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
16,16,192,2022-02-17,"R$ 10.097,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1323,1186,13172,2022-02-17,"R$ 825.490,70",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4738,4374,24411,2022-02-17,"R$ 1.488.312,54",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
551,404,5431,2022-02-17,"R$ 576.495,89",Padrão,VIAGEM E TURISMO,Parceiro-262
71,68,371,2022-02-17,"R$ 22.903,24",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
846,666,4092,2022-02-17,"R$ 142.996,59",Padrão,BELEZA E SAÚDE,Parceiro-463
232,223,1687,2022-02-17,"R$ 48.560,54",Padrão,MODA E ACESSÓRIOS,Parceiro-49
39,33,330,2022-02-17,"R$ 14.999,30",Padrão,BELEZA E SAÚDE,Parceiro-51
56,44,519,2022-02-17,"R$ 15.225,28",Padrão,ESPORTE E LAZER,Parceiro-525
